"month","year","treatment","species","wgt","period","energy","decade"
1,1978,"control","PF",7,7,24.4870121320489,1970
1,1978,"control","DO",42,7,93.8748452722046,1970
1,1978,"control","DM",46,7,100.503373641219,1970
1,1978,"control","DS",117,7,202.41918070181,1970
1,1978,"control","DM",43,7,95.5462415403459,1970
1,1978,"control","DM",40,7,90.5018089336904,1970
1,1978,"control","DM",44,7,97.2079476020466,1970
1,1978,"control","DS",122,7,208.872920612232,1970
1,1978,"control","DM",39,7,88.7995411482622,1970
1,1978,"control","DS",136,7,226.603413493298,1970
1,1978,"control","DM",35,7,81.8772598057385,1970
1,1978,"control","DM",41,7,92.1934694843704,1970
1,1978,"control","DM",43,7,95.5462415403459,1970
1,1978,"control","PF",8,7,27.0663539374619,1970
1,1978,"control","DM",42,7,93.8748452722046,1970
1,1978,"control","DM",40,7,90.5018089336904,1970
1,1978,"control","DS",116,7,201.120230609569,1970
1,1978,"control","DM",46,7,100.503373641219,1970
1,1978,"control","DM",40,7,90.5018089336904,1970
1,1978,"control","DM",37,7,85.3617990345562,1970
1,1978,"control","DS",117,7,202.41918070181,1970
1,1978,"control","DM",38,7,87.0863249865208,1970
1,1978,"control","DS",133,7,222.844026566197,1970
1,1978,"control","DS",141,7,232.823385949575,1970
1,1978,"control","DM",38,7,87.0863249865208,1970
1,1978,"control","DM",33,7,78.3425532205783,1970
1,1978,"control","DM",51,7,108.590016337657,1970
1,1978,"control","DM",33,7,78.3425532205783,1970
1,1978,"control","DM",47,7,102.137602618615,1970
1,1978,"control","DM",49,7,105.380274719703,1970
1,1978,"control","DM",46,7,100.503373641219,1970
1,1978,"control","DM",36,7,83.6255798186177,1970
1,1978,"control","DS",122,7,208.872920612232,1970
2,1978,"control","DM",39,8,88.7995411482622,1970
2,1978,"control","DM",43,8,95.5462415403459,1970
2,1978,"control","DS",144,8,236.528858281606,1970
2,1978,"control","DS",157,8,252.36958043541,1970
2,1978,"control","PF",7,8,24.4870121320489,1970
2,1978,"control","DM",52,8,110.18304597148,1970
2,1978,"control","DM",51,8,108.590016337657,1970
2,1978,"control","DM",40,8,90.5018089336904,1970
2,1978,"control","DM",41,8,92.1934694843704,1970
2,1978,"control","PE",25,8,63.616133959869,1970
2,1978,"control","DS",124,8,211.43580339025,1970
2,1978,"control","DM",39,8,88.7995411482622,1970
2,1978,"control","DM",39,8,88.7995411482622,1970
2,1978,"control","DS",114,8,198.513892371031,1970
2,1978,"control","DM",56,8,116.480516210362,1970
2,1978,"control","DS",132,8,221.586202550956,1970
2,1978,"control","DS",154,8,248.744110642271,1970
2,1978,"control","DM",50,8,106.989157998308,1970
2,1978,"control","DS",126,8,213.988372268528,1970
2,1978,"control","DM",44,8,97.2079476020466,1970
2,1978,"control","DM",48,8,103.763161232581,1970
2,1978,"control","DM",36,8,83.6255798186177,1970
2,1978,"control","DS",133,8,222.844026566197,1970
2,1978,"control","DM",44,8,97.2079476020466,1970
2,1978,"control","DM",51,8,108.590016337657,1970
2,1978,"control","DM",46,8,100.503373641219,1970
2,1978,"control","DM",44,8,97.2079476020466,1970
2,1978,"exclosure","DM",49,8,105.380274719703,1970
2,1978,"exclosure","DM",50,8,106.989157998308,1970
2,1978,"exclosure","DM",40,8,90.5018089336904,1970
2,1978,"removal","DM",46,8,100.503373641219,1970
2,1978,"removal","DM",48,8,103.763161232581,1970
2,1978,"control","DM",42,8,93.8748452722046,1970
2,1978,"control","DM",39,8,88.7995411482622,1970
2,1978,"control","DS",137,8,227.851919598639,1970
2,1978,"control","DM",44,8,97.2079476020466,1970
2,1978,"control","DM",35,8,81.8772598057385,1970
2,1978,"control","DM",45,8,98.8602380143538,1970
2,1978,"control","DM",38,8,87.0863249865208,1970
2,1978,"control","DM",39,8,88.7995411482622,1970
2,1978,"control","DM",45,8,98.8602380143538,1970
3,1978,"control","DM",51,9,108.590016337657,1970
3,1978,"control","DM",44,9,97.2079476020466,1970
3,1978,"control","DS",146,9,238.988447613837,1970
3,1978,"control","PF",7,9,24.4870121320489,1970
3,1978,"control","PF",8,9,27.0663539374619,1970
3,1978,"control","DS",153,9,247.531708556524,1970
3,1978,"control","DM",53,9,111.768434661472,1970
3,1978,"control","DM",43,9,95.5462415403459,1970
3,1978,"control","PE",28,9,69.259729318276,1970
3,1978,"control","PE",29,9,71.1067394489141,1970
3,1978,"exclosure","PF",8,9,27.0663539374619,1970
3,1978,"control","DS",131,9,220.325994010241,1970
3,1978,"control","DM",43,9,95.5462415403459,1970
3,1978,"control","DS",141,9,232.823385949575,1970
3,1978,"control","DS",124,9,211.43580339025,1970
3,1978,"control","DS",137,9,227.851919598639,1970
3,1978,"control","DS",125,9,212.713364128719,1970
3,1978,"control","DS",69,9,136.222574687631,1970
3,1978,"control","DM",45,9,98.8602380143538,1970
3,1978,"control","DM",43,9,95.5462415403459,1970
3,1978,"control","DM",49,9,105.380274719703,1970
3,1978,"control","DM",47,9,102.137602618615,1970
3,1978,"control","DS",152,9,246.317323786337,1970
3,1978,"control","DO",57,9,118.037066617257,1970
3,1978,"control","DS",134,9,224.099488446291,1970
3,1978,"control","DS",128,9,216.530831499695,1970
3,1978,"control","DS",146,9,238.988447613837,1970
3,1978,"control","DS",138,9,229.098149462921,1970
3,1978,"control","DM",43,9,95.5462415403459,1970
3,1978,"control","DM",43,9,95.5462415403459,1970
3,1978,"control","DM",46,9,100.503373641219,1970
3,1978,"control","PF",8,9,27.0663539374619,1970
3,1978,"exclosure","DM",48,9,103.763161232581,1970
3,1978,"exclosure","DM",44,9,97.2079476020466,1970
3,1978,"exclosure","DM",45,9,98.8602380143538,1970
3,1978,"exclosure","DM",48,9,103.763161232581,1970
3,1978,"exclosure","DM",46,9,100.503373641219,1970
3,1978,"control","DM",44,9,97.2079476020466,1970
3,1978,"control","DM",49,9,105.380274719703,1970
3,1978,"control","DM",37,9,85.3617990345562,1970
3,1978,"control","DM",45,9,98.8602380143538,1970
3,1978,"control","DM",43,9,95.5462415403459,1970
3,1978,"control","DM",42,9,93.8748452722046,1970
3,1978,"control","DS",122,9,208.872920612232,1970
3,1978,"control","DS",133,9,222.844026566197,1970
3,1978,"control","DM",40,9,90.5018089336904,1970
4,1978,"control","DS",168,10,265.518158699255,1970
4,1978,"control","DM",43,10,95.5462415403459,1970
4,1978,"control","DS",87,10,162.088314370844,1970
4,1978,"control","DS",140,10,231.583862534442,1970
4,1978,"control","DS",89,10,164.874985886678,1970
4,1978,"control","DS",121,10,207.587545628344,1970
4,1978,"control","DS",133,10,222.844026566197,1970
4,1978,"control","DS",84,10,157.878041743788,1970
4,1978,"control","DM",42,10,93.8748452722046,1970
4,1978,"control","DS",118,10,203.715358184933,1970
4,1978,"control","DS",114,10,198.513892371031,1970
